initial_alias,converted_alias,name,description,namespace,uniqueccds,unique_names
CCDS12552.1,ENSG00000105221,AKT2,AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392],CCDS,CCDS13970.1,PAX8
CCDS13970.1,ENSG00000213923,CSNK1E,casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453],CCDS,CCDS32461.1,AVPR1B
CCDS13970.1,ENSG00000283900,TPTEP2-CSNK1E,TPTEP2-CSNK1E readthrough [Source:HGNC Symbol;Acc:HGNC:53829],CCDS,CCDS45424.1,FOXI3
CCDS32461.1,ENSG00000205336,ADGRG1,adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512],CCDS,CCDS42936.1,SHISA6
CCDS45424.1,ENSG00000133392,MYH11,myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569],CCDS,CCDS45947.1,ACOT11
CCDS42936.1,ENSG00000177398,UMODL1,uromodulin like 1 [Source:HGNC Symbol;Acc:HGNC:12560],CCDS,CCDS2811.1,KRT83
CCDS45947.1,ENSG00000076826,CAMSAP3,calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307],CCDS,CCDS9791.1,ADGRG3
CCDS2811.1,ENSG00000001617,SEMA3F,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728],CCDS,CCDS11515.1,PIP5KL1
CCDS9791.1,ENSG00000185650,ZFP36L1,ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107],CCDS,CCDS32863.1,AHDC1
CCDS11515.1,ENSG00000006025,OSBPL7,oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387],CCDS,CCDS7293.1,SSTR1
CCDS32863.1,ENSG00000180448,ARHGAP45,Rho GTPase activating protein 45 [Source:HGNC Symbol;Acc:HGNC:17102],CCDS,CCDS12700.1,CTU1
CCDS7293.1,ENSG00000075073,TACR2,tachykinin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11527],CCDS,CCDS34414.1,PLVAP
CCDS12700.1,ENSG00000134815,DHX34,DExH-box helicase 34 [Source:HGNC Symbol;Acc:HGNC:16719],CCDS,CCDS6942.1,NOX5
CCDS34414.1,ENSG00000204389,HSPA1A,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232],CCDS,CCDS11637.1,TMEM200C
CCDS6942.1,ENSG00000160539,PLPP7,phospholipid phosphatase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:28174],CCDS,CCDS32648.1,MLXIP
CCDS11637.1,ENSG00000159640,ACE,angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707],CCDS,CCDS42325.1,FKRP
CCDS32648.1,ENSG00000213417,KRTAP2-4,keratin associated protein 2-4 [Source:HGNC Symbol;Acc:HGNC:18891],CCDS,CCDS43018.1,PXN
CCDS42325.1,ENSG00000212725,KRTAP2-1,keratin associated protein 2-1 [Source:HGNC Symbol;Acc:HGNC:16775],CCDS,CCDS43882.1,OR2W3
CCDS43018.1,ENSG00000128298,BAIAP2L2,BAR/IMD domain containing adaptor protein 2 like 2 [Source:HGNC Symbol;Acc:HGNC:26203],CCDS,CCDS58339.1,CDHR5
CCDS43882.1,ENSG00000106976,DNM1,dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972],CCDS,CCDS13980.1,DPP7
CCDS58339.1,ENSG00000179364,PACS2,phosphofurin acidic cluster sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:23794],CCDS,CCDS55354.1,PPP2R3B
CCDS13980.1,ENSG00000183741,CBX6,chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556],CCDS,CCDS55758.1,SLC22A6
CCDS55354.1,ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584],CCDS,CCDS53540.1,AOC1
CCDS55758.1,ENSG00000149091,DGKZ,diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857],CCDS,CCDS12368.1,OR56A3
CCDS53540.1,ENSG00000107736,CDH23,cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733],CCDS,CCDS32460.1,SLC4A3
CCDS12368.1,ENSG00000105641,SLC5A5,solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040],CCDS,CCDS53659.1,ZMIZ1
CCDS32460.1,ENSG00000205336,ADGRG1,adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512],CCDS,CCDS9783.1,SNAI1
CCDS53659.1,ENSG00000068976,PYGM,"glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]",CCDS,CCDS8549.1,PHF2
CCDS9783.1,ENSG00000198133,TMEM229B,transmembrane protein 229B [Source:HGNC Symbol;Acc:HGNC:20130],CCDS,CCDS45589.1,PROM2
CCDS8549.1,ENSG00000111640,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141],CCDS,CCDS14067.1,MYO1G
CCDS45589.1,ENSG00000141503,MINK1,misshapen like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565],CCDS,CCDS32891.1,LHX3
CCDS14067.1,ENSG00000077942,FBLN1,fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600],CCDS,CCDS8103.1,PNPLA5
CCDS32891.1,ENSG00000032444,PNPLA6,patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268],CCDS,CCDS12467.1,ZDHHC18
CCDS8103.1,ENSG00000168056,LTBP3,latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716],CCDS,CCDS45569.1,SLC6A2
CCDS12467.1,ENSG00000105675,ATP4A,ATPase H+/K+ transporting subunit alpha [Source:HGNC Symbol;Acc:HGNC:819],CCDS,CCDS55559.1,VIPR1
CCDS45569.1,ENSG00000185924,RTN4RL1,reticulon 4 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21329],CCDS,CCDS34277.1,ZBTB7C
CCDS55559.1,ENSG00000228594,FNDC10,fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951],CCDS,CCDS46323.1,CRTAC1
CCDS34277.1,ENSG00000070614,NDST1,N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680],CCDS,CCDS1160.1,MYO1C
CCDS46323.1,ENSG00000135636,DYSF,dysferlin [Source:HGNC Symbol;Acc:HGNC:3097],CCDS,CCDS75667.1,PYGB
CCDS1160.1,ENSG00000027644,INSRR,insulin receptor related receptor [Source:HGNC Symbol;Acc:HGNC:6093],CCDS,CCDS1918.1,DMBT1
CCDS75667.1,ENSG00000064393,HIPK2,homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402],CCDS,CCDS54062.1,PGAP2
CCDS1918.1,ENSG00000135636,DYSF,dysferlin [Source:HGNC Symbol;Acc:HGNC:3097],CCDS,CCDS53525.1,CLN6
CCDS54062.1,ENSG00000167716,WDR81,WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600],CCDS,CCDS34455.1,KRTAP5-7
CCDS53525.1,ENSG00000165731,RET,ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967],CCDS,CCDS7543.1,GSG1L
CCDS34455.1,ENSG00000146216,TTBK1,tau tubulin kinase 1 [Source:HGNC Symbol;Acc:HGNC:19140],CCDS,CCDS12444.1,ADRA2B
CCDS7543.1,ENSG00000148842,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2 [Source:HGNC Symbol;Acc:HGNC:103],CCDS,CCDS11029.1,DLL1
CCDS12444.1,ENSG00000153902,LGI4,leucine rich repeat LGI family member 4 [Source:HGNC Symbol;Acc:HGNC:18712],CCDS,CCDS7312.1,MGRN1
CCDS11029.1,ENSG00000167723,TRPV3,transient receptor potential cation channel subfamily V member 3 [Source:HGNC Symbol;Acc:HGNC:18084],CCDS,CCDS8425.1,STX11
CCDS7312.1,ENSG00000122863,CHST3,carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971],CCDS,CCDS7010.1,SYNGR3
CCDS8425.1,ENSG00000110400,NECTIN1,nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706],CCDS,CCDS54316.1,TMEM86B
CCDS7010.1,ENSG00000177943,MAMDC4,MAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24083],CCDS,CCDS56477.1,LHFPL4
CCDS54316.1,ENSG00000125505,MBOAT7,membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505],CCDS,CCDS8059.1,INTS11
CCDS56477.1,ENSG00000106113,CRHR2,corticotropin releasing hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:2358],CCDS,CCDS54125.1,MDK
CCDS8059.1,ENSG00000149781,FERMT3,FERM domain containing kindlin 3 [Source:HGNC Symbol;Acc:HGNC:23151],CCDS,CCDS43706.1,GPR162
CCDS54125.1,ENSG00000198090,KRTAP4-6,keratin associated protein 4-6 [Source:HGNC Symbol;Acc:HGNC:18909],CCDS,CCDS46622.1,CACTIN
CCDS43706.1,ENSG00000275342,PRAG1,"PEAK1 related, kinase-activating pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:25438]",CCDS,CCDS13328.1,FA2H
CCDS46622.1,ENSG00000087460,GNAS,GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392],CCDS,CCDS44580.1,OR2T34
CCDS13328.1,ENSG00000124194,GDAP1L1,ganglioside induced differentiation associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:4213],CCDS,CCDS46071.1,OXTR
CCDS44580.1,ENSG00000149091,DGKZ,diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857],CCDS,CCDS55759.1,CHRM4
CCDS46071.1,ENSG00000128011,LRFN1,leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29290],CCDS,CCDS54963.1,WDR62
CCDS55759.1,ENSG00000149091,DGKZ,diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857],CCDS,CCDS12866.1,MCM2
CCDS54963.1,ENSG00000124782,RREB1,ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449],CCDS,CCDS11413.1,TKT
CCDS12866.1,ENSG00000179820,MYADM,myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544],CCDS,CCDS12449.1,MAPK8IP1
CCDS11413.1,ENSG00000131473,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],CCDS,CCDS59376.1,RASA4B
CCDS12449.1,ENSG00000105699,LSR,lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572],CCDS,CCDS44081.1,OR1M1
CCDS59376.1,ENSG00000105699,LSR,lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572],CCDS,CCDS32929.1,INPP5D
CCDS44081.1,ENSG00000117298,ECE1,endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146],CCDS,CCDS13556.1,CYP2A7
CCDS32929.1,ENSG00000123146,ADGRE5,adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711],CCDS,CCDS412.1,WNK2
CCDS13556.1,ENSG00000125510,OPRL1,opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155],CCDS,CCDS31381.1,MMD2
CCDS412.1,ENSG00000119535,CSF3R,colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439],CCDS,CCDS74725.1,LIMS2
CCDS31381.1,ENSG00000167360,OR51Q1,olfactory receptor family 51 subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:14851],CCDS,CCDS56084.1,APLNR
CCDS74725.1,ENSG00000124194,GDAP1L1,ganglioside induced differentiation associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:4213],CCDS,CCDS32908.1,KRTAP5-8
CCDS56084.1,ENSG00000130164,LDLR,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547],CCDS,CCDS59351.1,TMEM145
CCDS32908.1,ENSG00000079805,DNM2,dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974],CCDS,CCDS74370.1,SLC38A8
CCDS59351.1,ENSG00000079805,DNM2,dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974],CCDS,CCDS53973.1,PTPN23
CCDS74370.1,ENSG00000090006,LTBP4,latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717],CCDS,CCDS77049.1,MIDN
CCDS53973.1,ENSG00000182175,RGMA,repulsive guidance molecule BMP co-receptor a [Source:HGNC Symbol;Acc:HGNC:30308],CCDS,CCDS44050.1,KLHL38
CCDS77049.1,ENSG00000120088,CRHR1,corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357],CCDS,CCDS58139.1,GLIS1
CCDS44050.1,ENSG00000078900,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],CCDS,CCDS54122.1,CARD14
CCDS58139.1,ENSG00000011347,SYT7,synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514],CCDS,CCDS58538.1,CDH22
CCDS54122.1,ENSG00000214518,KRTAP2-2,keratin associated protein 2-2 [Source:HGNC Symbol;Acc:HGNC:18905],CCDS,CCDS6736.1,PCDH19
CCDS58538.1,ENSG00000275410,HNF1B,HNF1 homeobox B [Source:HGNC Symbol;Acc:HGNC:11630],CCDS,CCDS58201.1,CELA3B
CCDS6736.1,ENSG00000136928,GABBR2,gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507],CCDS,CCDS42957.1,KCNH4
CCDS58201.1,ENSG00000111640,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141],CCDS,CCDS82350.1,LRRC3
CCDS42957.1,ENSG00000215454,KRTAP10-4,keratin associated protein 10-4 [Source:HGNC Symbol;Acc:HGNC:20521],CCDS,CCDS11412.1,BAIAP3
CCDS82350.1,ENSG00000105221,AKT2,AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392],CCDS,CCDS45969.1,SLCO2A1
CCDS11412.1,ENSG00000131473,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],CCDS,CCDS48026.1,CRTC1
CCDS45969.1,ENSG00000079805,DNM2,dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974],CCDS,CCDS48027.1,FAM20C
CCDS48026.1,ENSG00000095370,SH2D3C,SH2 domain containing 3C [Source:HGNC Symbol;Acc:HGNC:16884],CCDS,CCDS12055.1,SYNGR1
CCDS48027.1,ENSG00000095370,SH2D3C,SH2 domain containing 3C [Source:HGNC Symbol;Acc:HGNC:16884],CCDS,CCDS75364.1,WFIKKN2
CCDS12055.1,ENSG00000064687,ABCA7,ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37],CCDS,CCDS46324.1,OR1D5
CCDS75364.1,ENSG00000055163,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760],CCDS,CCDS8060.1,STARD3
CCDS46324.1,ENSG00000135636,DYSF,dysferlin [Source:HGNC Symbol;Acc:HGNC:3097],CCDS,CCDS34415.1,ESPNL
CCDS8060.1,ENSG00000149781,FERMT3,FERM domain containing kindlin 3 [Source:HGNC Symbol;Acc:HGNC:23151],CCDS,CCDS53363.1,RALGDS
CCDS34415.1,ENSG00000204388,HSPA1B,heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233],CCDS,CCDS14069.1,LOXHD1
CCDS53363.1,ENSG00000143434,SEMA6C,semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740],CCDS,CCDS58637.1,TUBG1
CCDS14069.1,ENSG00000077942,FBLN1,fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600],CCDS,CCDS33073.1,GCGR
CCDS58637.1,ENSG00000180448,ARHGAP45,Rho GTPase activating protein 45 [Source:HGNC Symbol;Acc:HGNC:17102],CCDS,CCDS32099.1,CACNG2
CCDS33073.1,ENSG00000130529,TRPM4,transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993],CCDS,CCDS12568.1,IGFALS
CCDS32099.1,ENSG00000070182,SPTB,"spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]",CCDS,CCDS12686.1,MFSD13A
CCDS12568.1,ENSG00000255974,CYP2A6,cytochrome P450 family 2 subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:2610],CCDS,CCDS45793.1,CYP2D6
CCDS12686.1,ENSG00000160013,PTGIR,prostaglandin I2 receptor [Source:HGNC Symbol;Acc:HGNC:9602],CCDS,CCDS13061.1,WFIKKN1
CCDS45793.1,ENSG00000184640,SEPTIN9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323],CCDS,CCDS44082.1,KIAA2013
CCDS13061.1,ENSG00000132622,HSPA12B,heat shock protein family A (Hsp70) member 12B [Source:HGNC Symbol;Acc:HGNC:16193],CCDS,CCDS14061.1,ABCG4
CCDS44082.1,ENSG00000117298,ECE1,endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146],CCDS,CCDS11739.1,FAM50B
CCDS14061.1,ENSG00000056487,PHF21B,PHD finger protein 21B [Source:HGNC Symbol;Acc:HGNC:25161],CCDS,CCDS1810.1,HNF1A
CCDS11739.1,ENSG00000182687,GALR2,galanin receptor 2 [Source:HGNC Symbol;Acc:HGNC:4133],CCDS,CCDS11076.1,BDKRB2
CCDS1810.1,None,None,None,,CCDS42546.1,CTSA
CCDS11076.1,ENSG00000091622,PITPNM3,PITPNM family member 3 [Source:HGNC Symbol;Acc:HGNC:21043],CCDS,CCDS12927.1,SLC17A7
CCDS42546.1,ENSG00000089351,GRAMD1A,GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305],CCDS,CCDS64799.1,BRD4
CCDS12927.1,ENSG00000218891,ZNF579,zinc finger protein 579 [Source:HGNC Symbol;Acc:HGNC:26646],CCDS,CCDS7998.1,MDGA1
CCDS64799.1,ENSG00000197150,ABCB8,ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49],CCDS,CCDS1727.1,SUSD2
CCDS7998.1,ENSG00000110446,SLC15A3,solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068],CCDS,CCDS6877.1,SLC34A2
CCDS1727.1,ENSG00000171303,KCNK3,potassium two pore domain channel subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:6278],CCDS,CCDS14013.1,VAC14
CCDS6877.1,ENSG00000095370,SH2D3C,SH2 domain containing 3C [Source:HGNC Symbol;Acc:HGNC:16884],CCDS,CCDS215.1,TNS4
CCDS14013.1,ENSG00000100403,ZC3H7B,zinc finger CCCH-type containing 7B [Source:HGNC Symbol;Acc:HGNC:30869],CCDS,CCDS58000.1,PFKL
CCDS215.1,ENSG00000117298,ECE1,endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146],CCDS,CCDS34336.1,RAVER1
CCDS58000.1,ENSG00000269113,TRABD2B,TraB domain containing 2B [Source:HGNC Symbol;Acc:HGNC:44200],CCDS,CCDS34864.1,WNT3A
CCDS34336.1,ENSG00000124782,RREB1,ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449],CCDS,CCDS74308.1,WDFY4
CCDS34864.1,ENSG00000134013,LOXL2,lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666],CCDS,CCDS81616.1,FOXF2
CCDS74308.1,ENSG00000127511,SIN3B,SIN3 transcription regulator family member B [Source:HGNC Symbol;Acc:HGNC:19354],CCDS,CCDS13467.1,KALRN
CCDS81616.1,ENSG00000123901,GPR83,G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523],CCDS,CCDS42932.1,FZD8
CCDS13467.1,ENSG00000198768,APCDD1L,APC down-regulated 1 like [Source:HGNC Symbol;Acc:HGNC:26892],CCDS,CCDS58500.1,MAPK4
CCDS42932.1,None,None,None,,CCDS59326.1,AP1B1
CCDS58500.1,ENSG00000167723,TRPV3,transient receptor potential cation channel subfamily V member 3 [Source:HGNC Symbol;Acc:HGNC:18084],CCDS,CCDS13337.1,PTPRN2
CCDS59326.1,ENSG00000131196,NFATC1,nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775],CCDS,CCDS45890.1,KCNA6
CCDS13337.1,ENSG00000124249,KCNK15,potassium two pore domain channel subfamily K member 15 [Source:HGNC Symbol;Acc:HGNC:13814],CCDS,CCDS9277.1,NT5DC2
CCDS45890.1,ENSG00000183186,C2CD4C,C2 calcium dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417],CCDS,CCDS5912.1,ALG3
CCDS9277.1,ENSG00000184967,NOC4L,nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461],CCDS,CCDS53312.1,CNN2
CCDS5912.1,ENSG00000164867,NOS3,nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876],CCDS,CCDS73936.1,PLEKHG5
CCDS53312.1,ENSG00000117425,PTCH2,patched 2 [Source:HGNC Symbol;Acc:HGNC:9586],CCDS,CCDS12697.1,GTF3C1
CCDS73936.1,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81],CCDS,CCDS32907.1,CSF1R
CCDS12697.1,ENSG00000105327,BBC3,BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868],CCDS,CCDS5703.1,PLEKHN1
CCDS32907.1,ENSG00000079805,DNM2,dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974],CCDS,CCDS78077.1,SRL
CCDS5703.1,ENSG00000172354,GNB2,G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398],CCDS,CCDS64800.1,CDK18
CCDS78077.1,ENSG00000055163,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760],CCDS,CCDS11570.1,TOP3B
CCDS64800.1,ENSG00000197150,ABCB8,ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49],CCDS,CCDS55907.1,MLXIPL
CCDS11570.1,ENSG00000049283,EPN3,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235],CCDS,CCDS44073.1,GATA4
CCDS55907.1,ENSG00000136367,ZFHX2,zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152],CCDS,CCDS31725.1,ZNF837
CCDS44073.1,ENSG00000159363,ATP13A2,ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213],CCDS,CCDS45968.1,MMP28
CCDS31725.1,ENSG00000120645,IQSEC3,IQ motif and Sec7 domain ArfGEF 3 [Source:HGNC Symbol;Acc:HGNC:29193],CCDS,CCDS54706.1,NMUR2
CCDS45968.1,ENSG00000079805,DNM2,dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974],CCDS,CCDS58636.1,GPR12
CCDS54706.1,ENSG00000068078,FGFR3,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690],CCDS,CCDS43910.1,BCL11B
CCDS58636.1,ENSG00000129951,PLPPR3,phospholipid phosphatase related 3 [Source:HGNC Symbol;Acc:HGNC:23497],CCDS,CCDS55442.1,PTBP1
CCDS43910.1,ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584],CCDS,CCDS5721.1,OSBPL5
CCDS55442.1,ENSG00000196338,NLGN3,neuroligin 3 [Source:HGNC Symbol;Acc:HGNC:14289],CCDS,CCDS56498.1,TUBB2A
CCDS5721.1,ENSG00000257923,CUX1,cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557],CCDS,CCDS2745.1,HPS1
CCDS56498.1,ENSG00000257923,CUX1,cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557],CCDS,CCDS10855.1,FOXP4
CCDS2745.1,ENSG00000206549,None,novel protein identical to PRSS50,CCDS,CCDS12723.1,MELTF
CCDS2745.1,ENSG00000283706,PRSS50,serine protease 50 [Source:HGNC Symbol;Acc:HGNC:17910],CCDS,CCDS42575.1,PNPLA7
CCDS10855.1,ENSG00000124067,SLC12A4,solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913],CCDS,CCDS2812.1,GRK2
CCDS12723.1,ENSG00000088002,SULT2B1,sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459],CCDS,CCDS175.1,IQSEC2
CCDS42575.1,ENSG00000187244,BCAM,basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722],CCDS,CCDS54544.1,FZR1
CCDS2812.1,ENSG00000114349,GNAT1,G protein subunit alpha transducin 1 [Source:HGNC Symbol;Acc:HGNC:4393],CCDS,CCDS777.1,ITGAX
CCDS175.1,ENSG00000159363,ATP13A2,ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213],CCDS,CCDS12433.1,OXCT2
CCDS54544.1,ENSG00000073150,PANX2,pannexin 2 [Source:HGNC Symbol;Acc:HGNC:8600],CCDS,CCDS32850.1,SLC37A2
CCDS777.1,ENSG00000170989,S1PR1,sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165],CCDS,CCDS1958.1,CREB3L1
CCDS12433.1,ENSG00000124302,CHST8,carbohydrate sulfotransferase 8 [Source:HGNC Symbol;Acc:HGNC:15993],CCDS,CCDS7083.1,RPTOR
CCDS32850.1,ENSG00000131196,NFATC1,nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775],CCDS,CCDS10150.1,CELA3A
CCDS1958.1,ENSG00000115353,TACR1,tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526],CCDS,CCDS31143.1,SLC2A6
CCDS7083.1,ENSG00000107485,GATA3,GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172],CCDS,CCDS47816.1,GFOD1
CCDS10150.1,ENSG00000169856,ONECUT1,one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138],CCDS,CCDS46326.1,TMEM120A
CCDS31143.1,ENSG00000107485,GATA3,GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172],CCDS,CCDS12015.1,KAT2A
CCDS47816.1,ENSG00000168546,GFRA2,GDNF family receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4244],CCDS,CCDS12199.1,BCL9L
CCDS46326.1,ENSG00000135636,DYSF,dysferlin [Source:HGNC Symbol;Acc:HGNC:3097],CCDS,CCDS42378.1,CCKAR
CCDS12015.1,ENSG00000131196,NFATC1,nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775],CCDS,CCDS6052.1,HNF4A
CCDS12199.1,ENSG00000186994,KANK3,KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:24796],CCDS,CCDS31933.1,CPZ
CCDS42378.1,ENSG00000170412,GPRC5C,G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309],CCDS,CCDS77675.1,FZD9
CCDS6052.1,ENSG00000120907,ADRA1A,adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277],CCDS,CCDS11841.1,PPP2R1A
CCDS31933.1,ENSG00000187848,P2RX2,purinergic receptor P2X 2 [Source:HGNC Symbol;Acc:HGNC:15459],CCDS,CCDS32935.1,PRKCG
